ocdid,levels,recursive,roles,fields
ocd-division/country:us/state:il/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:14,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:15,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:16,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:17,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:18,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:in/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:ia/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ia/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ia/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ia/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ks/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ks/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ks/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ks/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ky/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ky/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ky/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ky/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ky/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:ky/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:la/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:la/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:la/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:la/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:la/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:la/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:me/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:me/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:md/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:md/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:md/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:md/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:md/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:md/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:md/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:md/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:14,,,legislatorLowerBody,
ocd-division/country:us/state:mn/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:mn/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:mn/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:mn/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:mn/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:mn/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:mn/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:mn/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:ms/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ms/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ms/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ms/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:8,,,legislatorLowerBody,
ocd-division/country:us/territory:mp,,,legislatorLowerBody,
ocd-division/country:us/state:ne/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ne/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ne/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:nv/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:nv/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:nv/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:nv/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:nh/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:nh/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:nm/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:nm/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:nm/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:14,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:15,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:16,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:17,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:18,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:19,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:20,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:21,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:22,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:23,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:24,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:25,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:26,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:27,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:nc/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:1,,,legislatorLowerBody,
